strategy,feature,period,bucket,n_events,n_tp1_first,n_stop_first,n_neither,n_ambiguous,n_resolved_non_ambiguous,tp1_first_rate,stop_first_rate,net_path_rate,median_mfe_signal_r,median_mae_signal_r,median_time_to_first_path
CPM-RO-001,market_rv_24h,Holdout,HIGH,262,150,65,47,0,215,0.6976744186046512,0.3023255813953488,0.3953488372093023,1.734375,-0.6905576520087751,645.0
CPM-RO-001,market_rv_24h,Full,LOW,176,79,66,31,0,145,0.5448275862068965,0.45517241379310347,0.0896551724137931,1.2009169884169884,-0.8597603279722486,480.0
CPM-RO-001,market_rv_24h,Full,MID,158,62,54,42,0,116,0.5344827586206896,0.46551724137931033,0.06896551724137931,0.8900882200311364,-0.7037337662337662,1200.0
CPM-RO-001,market_rv_24h,Full,HIGH,385,188,111,86,0,299,0.6287625418060201,0.3712374581939799,0.25752508361204013,1.0866081060255817,-0.7030995106035889,765.0
CPM-RO-001,market_return_24h,Discovery,LOW,64,30,21,13,0,51,0.5882352941176471,0.4117647058823529,0.17647058823529413,1.0776530447423678,-0.8087837837837838,435.0
CPM-RO-001,market_return_24h,Discovery,MID,116,39,57,20,0,96,0.40625,0.59375,-0.1875,0.6934662236987819,-1.14258658008658,600.0
CPM-RO-001,market_return_24h,Discovery,HIGH,181,48,63,70,0,111,0.43243243243243246,0.5675675675675675,-0.13513513513513514,0.6464088397790055,-0.7625,1095.0
CPM-RO-001,market_return_24h,Holdout,LOW,35,20,8,7,0,28,0.7142857142857143,0.2857142857142857,0.42857142857142855,2.0609756097560976,-0.7212543554006968,330.0
CPM-RO-001,market_return_24h,Holdout,MID,39,23,11,5,0,34,0.6764705882352942,0.3235294117647059,0.35294117647058826,1.4233278955954325,-0.6931818181818181,1305.0
CPM-RO-001,market_return_24h,Holdout,HIGH,284,169,71,44,0,240,0.7041666666666667,0.29583333333333334,0.4083333333333333,1.9307777327054563,-0.6304275722835099,630.0
CPM-RO-001,market_return_24h,Full,LOW,99,50,29,20,0,79,0.6329113924050633,0.3670886075949367,0.26582278481012656,1.469090909090909,-0.7644110275689223,420.0
CPM-RO-001,market_return_24h,Full,MID,155,62,68,25,0,130,0.47692307692307695,0.5230769230769231,-0.046153846153846156,0.9192399049881236,-0.9878048780487804,892.5
CPM-RO-001,market_return_24h,Full,HIGH,465,217,134,114,0,351,0.6182336182336182,0.3817663817663818,0.23646723646723647,1.0337078651685392,-0.7030995106035889,750.0
CPM-RO-001,directional_efficiency_24h,Discovery,LOW,118,43,57,18,0,100,0.43,0.57,-0.14,0.7667144555563326,-1.1519909688013135,600.0
CPM-RO-001,directional_efficiency_24h,Discovery,MID,100,28,47,25,0,75,0.37333333333333335,0.6266666666666667,-0.25333333333333335,0.692959042797975,-0.8983333333333333,585.0
CPM-RO-001,directional_efficiency_24h,Discovery,HIGH,143,46,37,60,0,83,0.5542168674698795,0.4457831325301205,0.10843373493975904,0.6543209876543209,-0.6684073107049608,1260.0
CPM-RO-001,directional_efficiency_24h,Holdout,LOW,81,37,28,16,0,65,0.5692307692307692,0.4307692307692308,0.13846153846153847,1.1,-0.9642857142857142,855.0
CPM-RO-001,directional_efficiency_24h,Holdout,MID,76,37,28,11,0,65,0.5692307692307692,0.4307692307692308,0.13846153846153847,1.4093653425022001,-0.9295784249563699,570.0
CPM-RO-001,directional_efficiency_24h,Holdout,HIGH,201,138,34,29,0,172,0.8023255813953488,0.19767441860465115,0.6046511627906976,2.3200992555831266,-0.3669125395152792,675.0
CPM-RO-001,directional_efficiency_24h,Full,LOW,199,80,85,34,0,165,0.48484848484848486,0.5151515151515151,-0.030303030303030304,0.9784172661870504,-1.0575079872204471,645.0
CPM-RO-001,directional_efficiency_24h,Full,MID,176,65,75,36,0,140,0.4642857142857143,0.5357142857142857,-0.07142857142857142,0.8361629881154499,-0.9088541666666666,577.5
CPM-RO-001,directional_efficiency_24h,Full,HIGH,344,184,71,89,0,255,0.7215686274509804,0.2784313725490196,0.44313725490196076,1.2325179804884994,-0.5727549018394702,795.0
MI-001,cross_sectional_dispersion_24h,Discovery,LOW,9,3,3,3,0,6,0.5,0.5,0.0,0.6330275229357798,-0.5977011494252873,1912.5
MI-001,cross_sectional_dispersion_24h,Discovery,MID,13,6,4,3,0,10,0.6,0.4,0.2,0.88,-0.8275862068965517,817.5
MI-001,cross_sectional_dispersion_24h,Discovery,HIGH,11,1,7,3,0,8,0.125,0.875,-0.75,0.2276785714285714,-1.2784313725490195,1582.5
MI-001,cross_sectional_dispersion_24h,Holdout,LOW,3,2,1,0,0,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.255681818181818,-0.6107954545454545,2145.0
MI-001,cross_sectional_dispersion_24h,Holdout,MID,4,4,0,0,0,4,1.0,0.0,1.0,1.8883399209486167,-0.5141511735714633,810.0
MI-001,cross_sectional_dispersion_24h,Holdout,HIGH,34,14,18,2,0,32,0.4375,0.5625,-0.125,1.7784225863796395,-1.24120082815735,645.0
MI-001,cross_sectional_dispersion_24h,Full,LOW,12,5,4,3,0,9,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.6839836409859621,-0.5988505747126436,1935.0
MI-001,cross_sectional_dispersion_24h,Full,MID,17,10,4,3,0,14,0.7142857142857143,0.2857142857142857,0.42857142857142855,1.271186440677966,-0.7160493827160493,817.5
MI-001,cross_sectional_dispersion_24h,Full,HIGH,45,15,25,5,0,40,0.375,0.625,-0.25,0.7818181818181817,-1.25879917184265,705.0
MI-001,avg_cross_asset_corr_24h,Discovery,LOW,11,2,3,6,0,5,0.4,0.6,-0.2,0.6330275229357798,-0.5389610389610389,2070.0
MI-001,avg_cross_asset_corr_24h,Discovery,MID,8,2,6,0,0,8,0.25,0.75,-0.5,0.25054466230936817,-1.3429193899782135,1350.0
MI-001,avg_cross_asset_corr_24h,Discovery,HIGH,14,6,5,3,0,11,0.5454545454545454,0.45454545454545453,0.09090909090909091,0.717150225660864,-0.651063829787234,1500.0
MI-001,avg_cross_asset_corr_24h,Holdout,LOW,2,2,0,0,0,2,1.0,0.0,1.0,2.4812891849529777,-0.42896094566353177,1560.0
MI-001,avg_cross_asset_corr_24h,Holdout,MID,1,1,0,0,0,1,1.0,0.0,1.0,2.0869565217391304,-0.717391304347826,1395.0
MI-001,avg_cross_asset_corr_24h,Holdout,HIGH,38,17,19,2,0,36,0.4722222222222222,0.5277777777777778,-0.05555555555555555,1.6336815358554488,-1.17198642742121,705.0
MI-001,avg_cross_asset_corr_24h,Full,LOW,13,4,3,6,0,7,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.7349397590361445,-0.5389610389610389,2070.0
MI-001,avg_cross_asset_corr_24h,Full,MID,9,3,6,0,0,9,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.3529411764705882,-1.2784313725490195,1395.0
MI-001,avg_cross_asset_corr_24h,Full,HIGH,52,23,24,5,0,47,0.48936170212765956,0.5106382978723404,-0.02127659574468085,1.2444015104944235,-1.0058708414872797,735.0
MI-001,market_breadth_24h,Discovery,LOW,10,4,4,2,0,8,0.5,0.5,0.0,0.8974688796680498,-0.9591666666666665,982.5
MI-001,market_breadth_24h,Discovery,MID,8,2,3,3,0,5,0.4,0.6,-0.2,0.6937110142698453,-0.7955082742316784,1935.0
MI-001,market_breadth_24h,Discovery,HIGH,15,4,7,4,0,11,0.36363636363636365,0.6363636363636364,-0.2727272727272727,0.5747126436781609,-0.6,1665.0
MI-001,market_breadth_24h,Holdout,LOW,2,1,1,0,0,2,0.5,0.5,0.0,2.2101449275362315,-1.0452628163530173,870.0
MI-001,market_breadth_24h,Holdout,MID,7,1,5,1,0,6,0.16666666666666666,0.8333333333333334,-0.6666666666666666,0.7254901960784313,-1.4054054054054055,667.5
MI-001,market_breadth_24h,Holdout,HIGH,32,18,13,1,0,31,0.5806451612903226,0.41935483870967744,0.16129032258064516,1.8344643706822934,-0.9137420400561527,735.0
MI-001,market_breadth_24h,Full,LOW,12,5,5,2,0,10,0.5,0.5,0.0,1.0512188796680497,-0.9591666666666665,930.0
MI-001,market_breadth_24h,Full,MID,15,3,8,4,0,11,0.2727272727272727,0.7272727272727273,-0.45454545454545453,0.7254901960784313,-1.0,780.0
MI-001,market_breadth_24h,Full,HIGH,47,22,20,5,0,42,0.5238095238095238,0.47619047619047616,0.047619047619047616,1.2176165803108807,-0.8157423971377459,780.0
MI-001,market_rv_24h,Discovery,LOW,6,2,3,1,0,5,0.4,0.6,-0.2,0.6931277742549143,-0.9504685408299867,2025.0
MI-001,market_rv_24h,Discovery,MID,16,3,7,6,0,10,0.3,0.7,-0.4,0.5048887893715479,-0.7788505747126436,1177.5
MI-001,market_rv_24h,Discovery,HIGH,11,5,4,2,0,9,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.7818181818181817,-0.8275862068965517,1500.0
MI-001,market_rv_24h,Holdout,LOW,2,2,0,0,0,2,1.0,0.0,1.0,2.4812891849529777,-0.42896094566353177,1560.0
